Link,Status,Error,Type
https://botticelli.in/collection/shirts/striped/green-striped-shirt/feed,not connected,TimeoutError,Home
https://botticelli.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbotticelli.in%2Fyellow-shirts-for-men%2F,not connected,TimeoutError,Home
https://botticelli.in/shop,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/party-wear/blue-abstract-print-shirt/feed,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/checked/yellow-check-shirt,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/striped/blue-and-grey-striped-shirt,200,No error,Home
https://botticelli.in/blog/category/lifestyle,200,No error,Home
https://botticelli.in/?remove_compare_item=e735133a3cde8ee533d95d2150e869e5,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/printed/dark-blue-printed-shirt?add_to_compare=12658,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/checked/sandal-and-white-check-shirt/feed,not connected,TimeoutError,Home
https://botticelli.in/wp-json/wp/v2/product_cat/65,200,Non-HTML content: application/json; charset=utf-8,Home
https://botticelli.in/?add_to_compare=12072,200,No error,Home
https://botticelli.in/collection/shirts/printed/green-printed-shirt,200,No error,Home
https://botticelli.in/?p=11255,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/party-wear/ice-blue-shirt?add_to_compare=11706,not connected,TimeoutError,Home
https://botticelli.in/wp-json/wp/v2/pages/191,not connected,TimeoutError,Home
https://botticelli.in/?add_to_compare=13695,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/party-wear/violet-party-wear-shirt?add-to-wishlist=11730,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/party-wear/olive-green-party-wear-shirt?add-to-wishlist=11345,not connected,TimeoutError,Home
https://botticelli.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbotticelli.in%2Fcollection%2Fshirts%2Fparty-wear%2Flight-yellow-shirt%2F,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/party-wear/navy-blue-party-wear-shirt,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/checked/blue-white-check-shirt?add_to_compare=11951,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/party-wear/black-designer-shirt?add-to-wishlist=11663,not connected,TimeoutError,Home
https://botticelli.in/wp-json/wp/v2/pages/6292,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/striped/blue-striped-shirt-for-men?add_to_compare=11562,not connected,TimeoutError,Home
https://botticelli.in/collections/shirts/striped?add_to_compare=13052,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/printed/blue-printed-shirt?add_to_compare=11642,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/party-wear/olive-green-party-wear-shirt?add_to_compare=11562,not connected,TimeoutError,Home
