Link,Status,Error,Type
https://botticelli.in/wp-json/wp/v2/product/13157,200,Non-HTML content: application/json; charset=utf-8,Home
https://botticelli.in/collection/party-wear/pink-party-wear-shirt,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/checked/ramar-blue-check-shirt?add-to-wishlist=12010,not connected,TimeoutError,Home
https://botticelli.in/?add_to_compare=14028,200,No error,Home
https://botticelli.in/collections/shirts?add-to-wishlist=13853,not connected,TimeoutError,Home
https://botticelli.in/wp-json/wp/v2/product/13784,200,Non-HTML content: application/json; charset=utf-8,Home
https://botticelli.in/collection/shirts/striped/blue-and-grey-striped-shirt?add-to-wishlist=13107,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/party-wear/royal-blue-shirt,not connected,TimeoutError,Home
https://botticelli.in/collections/shirts?add-to-wishlist=13182,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/party-wear/ice-blue-shirt,200,No error,Home
https://botticelli.in/collection/shirts/striped/grey-vertical-striped-shirt?add-to-wishlist=11601,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/checked/sandal-and-white-check-shirt?add_to_compare=13835,not connected,TimeoutError,Home
https://botticelli.in/green-shirts-for-men?add-to-wishlist=13853,not connected,TimeoutError,Home
https://botticelli.in/collections/shirts?add-to-wishlist=12084,not connected,TimeoutError,Home
https://botticelli.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fbotticelli.in%2Fcollection%2Fshirts%2Fchecked%2Fsandal-and-white-check-shirt%2F,200,Non-HTML content: application/json; charset=utf-8,Home
https://botticelli.in/collections/shirts/party-wear/page/2,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/checked/sandal-and-white-check-shirt?add-to-wishlist=11951,not connected,TimeoutError,Home
https://botticelli.in/wp-json/wp/v2/posts/11237,not connected,TimeoutError,Home
https://botticelli.in/?p=13784,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/striped/maroon-striped-shirt?add_to_compare=13094,not connected,TimeoutError,Home
https://botticelli.in/collections/shirts?add_to_compare=13871,not connected,TimeoutError,Home
https://botticelli.in/grey-shirts?add_to_compare=13143,not connected,TimeoutError,Home
https://botticelli.in/collections/shirts/checked/page/2,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/checked/ramar-blue-check-shirt?add-to-wishlist=11964,not connected,TimeoutError,Home
https://botticelli.in/brown-shirts?add_to_compare=13785,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/party-wear/party-wear-maroon-shirt,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/striped/grey-vertical-striped-shirt?add-to-wishlist=13157,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/checked/black-check-shirt?add_to_compare=11927,not connected,TimeoutError,Home
https://botticelli.in/?remove_compare_item=4d85374a75c3ff7c040df577395ff7f9,not connected,TimeoutError,Home
https://botticelli.in/collections/shirts?add_to_compare=11927,not connected,TimeoutError,Home
https://botticelli.in/?remove_compare_item=80e49ec0903f1e8fa1a81df33841d6b1,not connected,TimeoutError,Home
