Link,Status,Error,Type
https://botticelli.in/blog/shirts-for-tall-men,200,No error,Home
https://botticelli.in/collection/shirts/party-wear/violet-party-wear-shirt,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/checked/green-check-formal-shirt,not connected,TimeoutError,Home
https://botticelli.in/weekday-shirts,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/party-wear/ice-green-shirt,not connected,TimeoutError,Home
https://botticelli.in/wp-content/themes/ecomus/assets/fonts/i7dOIFdwYjGaAMFtZd_QA1ZbYFc.woff2,200,Non-HTML content: application/font-woff2,Home
https://botticelli.in/collection/shirts/striped/maroon-striped-shirt,not connected,TimeoutError,Home
https://botticelli.in/?add-to-wishlist=12629,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/striped/blue-vertical-striped-shirt,not connected,TimeoutError,Home
https://botticelli.in/red-shirts,not connected,TimeoutError,Home
https://botticelli.in/?add-to-wishlist=13784,not connected,TimeoutError,Home
https://botticelli.in/?add_to_compare=12658,200,No error,Home
https://botticelli.in/collection/shirts/striped/grey-vertical-striped-shirt,not connected,TimeoutError,Home
https://botticelli.in/brown-shirts,not connected,TimeoutError,Home
https://botticelli.in/?add-to-wishlist=13107,not connected,TimeoutError,Home
https://botticelli.in/comments/feed,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/printed/brown-printed-shirt,not connected,TimeoutError,Home
https://botticelli.in/?add-to-wishlist=12054,not connected,TimeoutError,Home
https://botticelli.in/shipping-policy,not connected,TimeoutError,Home
https://botticelli.in/my-account,not connected,TimeoutError,Home
https://botticelli.in/?add-to-wishlist=13785,not connected,TimeoutError,Home
https://botticelli.in/blue-shirts,not connected,TimeoutError,Home
https://botticelli.in/navy-blue-shirts,not connected,TimeoutError,Home
https://botticelli.in/?add_to_compare=13143,not connected,TimeoutError,Home
https://botticelli.in/pink-shirts,not connected,TimeoutError,Home
https://botticelli.in/grey-shirts,not connected,TimeoutError,Home
https://botticelli.in/?add-to-wishlist=12658,not connected,TimeoutError,Home
https://botticelli.in/premium-black-shirts,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/checked/black-check-shirt,not connected,TimeoutError,Home
https://botticelli.in/?add_to_compare=12758,not connected,TimeoutError,Home
https://botticelli.in/?add-to-wishlist=12704,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/checked/orange-check-shirt,not connected,TimeoutError,Home
https://botticelli.in/collection/shirts/checked/dark-blue-check-shirt,not connected,TimeoutError,Home
https://botticelli.in/blog/striped-shirt-fabrics,not connected,TimeoutError,Home
