Link,Status,Error,Type
https://olaelectric.com/service,200,No error,Home
https://olaelectric.com/referrals,200,No error,Home
http://olaelectric.com/investor-relations/%23img1,404,HTTP Error 404,Home
https://olaelectric.com/investor-relations/directors-profile?tab=committee_composition,200,No error,Home
http://olaelectric.com/technology-vision-for-scripting-indias-economic-destiny,404,HTTP Error 404,Home
https://olaelectric.com/investor-relations/directors-profile,200,No error,Home
https://olaelectric.com/bike/ownership/emi,200,No error,Home
https://olaelectric.com/support/newsroom,404,HTTP Error 404,Home
https://olaelectric.com/support/warranty?group=8+Year+Battery+Warranty,200,No error,Home
https://olaelectric.com/support/ownership?group=Service,200,No error,Home
http://olaelectric.com/blog/ride-stress-free-with-our-extended-warranty,200,No error,Home
http://olaelectric.com/investor-relations,200,No error,Home
http://olaelectric.com/motorcycles/%23img1,404,HTTP Error 404,Home
http://olaelectric.com/referrals,200,No error,Home
https://olaelectric.com/8yearwarranty,200,No error,Home
https://olaelectric.com/technology-vision-for-scripting-indias-economic-destiny,404,HTTP Error 404,Home
http://olaelectric.com/support/vehicle-dash?group=OTA+Updates,200,No error,Home
https://olaelectric.com/s1pro-gen3,200,No error,Home
http://olaelectric.com/the-era-of-ev-day-2,404,HTTP Error 404,Home
http://olaelectric.com/support/ola-electric-app?support=Profile,200,No error,Home
http://olaelectric.com/support/subsidy?group=FAME-%7C%7C+Subsidy,200,No error,Home
http://olaelectric.com/support/service-rsa?group=Service+Pricing,200,No error,Home
https://olaelectric.com/software/moveos,200,No error,Home
https://olaelectric.com/experience-centre-info,200,No error,Home
https://olaelectric.com/s1/ownership/newsroom,404,HTTP Error 404,Home
http://olaelectric.com/support/vehicle-charging?group=Hypercharger,200,No error,Home
https://olaelectric.com/`/experience-centres/book-appointment?expCenterId=xyz%60%3B,404,HTTP Error 404,Home
http://olaelectric.com/experience-centre-info,200,No error,Home
https://olaelectric.com/support/vehicle-dash?group=Handle+Bar+Control,200,No error,Home
http://olaelectric.com/experience-centres/`/experience-centres/book-appointment?expCenterId=xyz%60%3B,404,HTTP Error 404,Home
http://olaelectric.com/Pagename,404,HTTP Error 404,Home
http://olaelectric.com/s1/ownership/`/experience-centres/book-appointment?expCenterId=xyz%60%3B,404,HTTP Error 404,Home
https://olaelectric.com/blog/`/experience-centres/book-appointment?expCenterId=xyz%60%3B,404,HTTP Error 404,Home
https://olaelectric.com/blog/a-note-on-our-13th-foundation-day,200,No error,Home
http://olaelectric.com/partners/newsroom,404,HTTP Error 404,Home
http://olaelectric.com/investor-relations/policies,200,No error,Home
https://olaelectric.com/,200,No error,Home
http://olaelectric.com/eventUrl,404,HTTP Error 404,Home
https://olaelectric.com/s1/newsroom,404,HTTP Error 404,Home
https://olaelectric.com/emi-calculator,200,No error,Home
https://olaelectric.com/support/ownership?support=Test+Rides,200,No error,Home
https://olaelectric.com/newsroom,200,No error,Home
https://olaelectric.com/s1-pro,200,No error,Home
https://olaelectric.com/newsroom/press-kit/branding,200,No error,Home
