Link,Status,Error,Type
https://pothys.com/products/mustard-floral-print-mirror-work-organza-chudidhar-material-top-with-santoon-material-pant-floral-print-mirror-work-dupatta,429,HTTP Error 429,Home
https://pothys.com/products/beige-floral-printed-chudidhar-material-top-with-plain-bottom-embroidered-scallop-border-dupatta,429,HTTP Error 429,Home
https://pothys.com/products/blue-striped-floral-printed-designer-catalog-saree-zari-striped-border-big-flower-printed-pallu,429,HTTP Error 429,Home
https://pothys.com/products/beige-dress-material-catalouge-floral-embroidery-anarkali-with-floral-embroidery-scallop-border-dupatta,429,HTTP Error 429,Home
https://pothys.com/collections/chudidhar-material-catalogue,200,No error,Home
https://pothys.com/collections/paithani,200,No error,Home
https://pothys.com/products/green-floral-motifs-dupio-silk-saree-with-contrast-floral-embroidery-border,429,HTTP Error 429,Home
https://pothys.com/products/purple-kancheepuram-silk-saree-with-contrast-rettai-pettu-border-of-zari-design-floral-design-pallu,200,No error,Home
https://pothys.com/products/green-paithani-silk-saree-with-zari-buttas-contrast-vidarbha-triple-muniya-border-pallu-of-colorful-floral-designs,429,HTTP Error 429,Home
https://pothys.com/products/purple-with-pink-chanderi-double-shaded-carry-design-with-daman-printed-neck-handwork-chudidhar-material-set-with-contrast-santoon-material-pant-double-shaded-carry-negetive-printe-dupatta,429,HTTP Error 429,Home
https://pothys.com/products/gerey-gold-zari-butta-weaving-design-banaras-kora-tissue-saree-with-self-jacquard-border-rich-weaving-pallu-along-with-brocade-blouse,429,HTTP Error 429,Home
https://pothys.com/products/cream-floral-design-printed-silk-saree-with-contrast-floral-design-border-floral-design-pallu,200,No error,Home
https://pothys.com/products/green-dress-material-catalouge-floral-thread-embroidery-top-with-embroidery-palazzo-pants-floral-embroidery-scallop-border-dupatta,429,HTTP Error 429,Home
https://pothys.com/products/blue-plain-kanchi-cotton-saree-contrast-ikkat-border-pallu-of-stripes-1,429,HTTP Error 429,Home
https://pothys.com/collections/kancheepuram-designer,200,No error,Home
https://pothys.com/products/multi-color-kalamkari-style-flora-fauna-human-motifs-printed-mysore-silk-saree-contrast-traditional-zari-border,429,HTTP Error 429,Home
https://pothys.com/products/maroon-with-black-printed-design-chanderi-cotton-saree-ikkat-printed-gold-zari-lining-border-ikkat-printed-pallu-along-with-printed-blouse,429,HTTP Error 429,Home
https://pothys.com/products/light-yellow-floral-thread-embroidery-tissue-saree-with-floral-scallop-thread-embroidery-border,429,HTTP Error 429,Home
https://pothys.com/pages/privacy-policy,200,No error,Home
https://pothys.com/products/green-elephant-floral-design-kancheepuram-silk-saree-with-self-intricate-zari-design-border-geometric-design-pallu,200,No error,Home
https://pothys.com/collections/maheshwari-cotton,200,No error,Home
https://pothys.com/products/maroon-leaf-design-kanchi-cotton-saree-with-contrast-intricate-zari-design-border-floral-design-pallu,429,HTTP Error 429,Home
https://pothys.com/products/green-dress-material-catalouge-floral-embroidery-top-with-plain-bottom-floral-embroidey-dupatta,429,HTTP Error 429,Home
https://pothys.com/pages/store-locator,429,HTTP Error 429,Home
