Link,Status,Error,Type
https://pothys.com/collections/vasundhara-lite-silk-mix,200,No error,Home
https://pothys.com/collections/kubera-sarees,200,No error,Home
https://pothys.com/products/pink-floral-jacquard-tissue-saree-with-contrast-intricate-zari-design-border-floral-jaal-zari-design-pallu,429,HTTP Error 429,Home
https://pothys.com/products/green-checked-vasundhara-elite-silk-saree-with-contrast-traditional-zari-design-border-intricate-jaal-design-pallu,429,HTTP Error 429,Home
https://pothys.com/products/gold-with-pink-diamond-design-tissue-saree-with-contrast-border-rich-pallu-along-with-plain-blouse,429,HTTP Error 429,Home
https://pothys.com/products/blue-printed-turkey-crepe-saree-with-printed-border-printed-pallu-along-with-dot-printed-blouse,429,HTTP Error 429,Home
https://pothys.com/products/maroon-zari-checks-linen-slub-saree-with-zari-piping-border-lining-pallu-along-with-brocade-blouse,429,HTTP Error 429,Home
https://pothys.com/products/sandal-floral-vine-design-kancheepuram-tissue-silk-saree-self-border-of-rekku-banaras-paun-kodi-visiry-designs-floral-design-pallu,429,HTTP Error 429,Home
https://pothys.com/products/brown-color-plain-design-half-sleeve-pure-silk-shirt-1,429,HTTP Error 429,Home
https://pothys.com/products/borderless-red-batik-floral-motifs-printed-mul-mul-cotton-saree,429,HTTP Error 429,Home
https://pothys.com/products/multi-color-geometric-design-mirror-work-synon-silk-saree-with-printed-border-mirror-work-printed-blouse-along-with-plain-blouse,429,HTTP Error 429,Home
https://pothys.com/products/red-jacquard-fancy-softy-silk-saree-traditional-design-border-pallu-of-jaal-designs,429,HTTP Error 429,Home
https://pothys.com/products/borderless-pink-plain-design-semi-banaras-crepe-saree,429,HTTP Error 429,Home
https://pothys.com/products/pink-batik-style-leaf-creeper-with-self-batik-style-border,429,HTTP Error 429,Home
https://pothys.com/products/blue-buttas-kancheepuram-silk-saree-with-contrast-floral-design-border-floral-motifs-pallu,200,No error,Home
https://pothys.com/products/green-paisley-motifs-semi-soft-silk-saree-with-contrast-border-pallu-of-intricate-zari-design-pallu,429,HTTP Error 429,Home
https://pothys.com/products/brown-checked-floral-design-semi-silk-cotton-saree-with-contrast-floral-design-border-argyle-design-pallu,429,HTTP Error 429,Home
https://pothys.com/products/pink-lehariya-design-crush-tissue-saree-with-self-border-chit-pallu-along-with-striped-silver-blouse,429,HTTP Error 429,Home
https://pothys.com/products/mehendi-green-mercerised-cotton-daman-zari-border-half-saree-with-cotton-blouse-skya-georgette-one-side-zari-border-dhavani,429,HTTP Error 429,Home
https://pothys.com/collections/silk-cotton,200,No error,Home
https://pothys.com/collections/art-silk-pavadai-material,200,No error,Home
https://pothys.com/collections/half-sarees-below-rs-5000,200,No error,Home
https://pothys.com/products/borderless-sandal-striped-floral-design-silk-cotton-saree-with-floral-jaal-design-pallu,429,HTTP Error 429,Home
https://pothys.com/products/maroon-thread-weaving-silk-cotton-saree-with-zari-border-thread-weaving-rich-pallu-along-with-weaving-blouse,429,HTTP Error 429,Home
https://pothys.com/products/green-buttas-soft-silk-saree-with-self-floral-design-border-intricate-zari-design-pallu,429,HTTP Error 429,Home
https://pothys.com/products/purple-checked-floral-design-silk-cotton-saree-with-contrast-zari-border-intricate-zari-design-pallu,429,HTTP Error 429,Home
https://pothys.com/collections/semi-banaras-crepe?page=2,429,HTTP Error 429,Home
https://pothys.com/products/borderless-pink-shibori-printed-banswara-jute-saree-with-printed-pallu-contrast-blouse,429,HTTP Error 429,Home
