Link,Status,Error,Type
https://annachi.fr/product/christmas-hanging-paper-lantern-red-colour-star-size-30-inch-1pc?add-to-cart=24956,429,HTTP Error 429,Home
https://annachi.fr/product/maliban-lemon-puff-biscuit-200g?add-to-cart=25042,429,HTTP Error 429,Home
https://annachi.fr/categorie-produit/sweets/annachi-fresh-sweets/feed,429,HTTP Error 429,Home
https://annachi.fr/product/zandu-balm-8ml?add-to-cart=27875,429,HTTP Error 429,Home
https://annachi.fr/categorie-produit/vegetables/vegetables-vegetables?per_page=24,429,HTTP Error 429,Home
https://annachi.fr/product/annachi-mung-moong-beans-1kg,429,HTTP Error 429,Home
https://annachi.fr/product/dabur-hajmola-pudina-tablet-120s,429,HTTP Error 429,Home
https://annachi.fr/categorie-produit/instant-food/noodles-pasta?add-to-cart=271491,not connected,TimeoutError,Home
https://annachi.fr/product/parle-hide-and-seek-bourbon-70g,200,No error,Home
https://annachi.fr/product/veetee-mega-extra-long-basmati-rice-5kg,429,HTTP Error 429,Home
https://annachi.fr/product/gits-vegan-meals-veg-biryani-265g,200,No error,Home
https://annachi.fr/product/mdh-tava-fry-masala-100g,200,No error,Home
https://annachi.fr/product/mtr-lemon-rice-250g?add-to-cart=25786,429,HTTP Error 429,Home
https://annachi.fr/product/babas-hot-spicy-fish-curry-powder-1kg?add-to-cart=24719,429,HTTP Error 429,Home
https://annachi.fr/categorie-produit/oil-ghee-masala/indian-masalas?add-to-cart=276771,429,HTTP Error 429,Home
https://annachi.fr/categorie-produit/others?add-to-cart=24917,429,HTTP Error 429,Home
https://annachi.fr/?add-to-cart=24647,429,HTTP Error 429,Home
https://annachi.fr/product/haldiram-gulab-jamun-1kg?add-to-cart=24640,429,HTTP Error 429,Home
https://annachi.fr/?add-to-cart=24776,200,No error,Home
https://annachi.fr/product/karachi-vegan-kaju-badam-biscuit-200g?add-to-cart=25041,429,HTTP Error 429,Home
https://annachi.fr/categorie-produit/short-date?add-to-cart=126339,429,HTTP Error 429,Home
https://annachi.fr/categorie-produit/pickles-pastes-condiments?add-to-cart=269242,429,HTTP Error 429,Home
https://annachi.fr/product/annachi-premium-idly-rice-5kg?add-to-cart=24959,429,HTTP Error 429,Home
https://annachi.fr/product/trs-green-raisin-100g,429,HTTP Error 429,Home
https://annachi.fr/product/pg-tips-tea-bags-40tips,429,HTTP Error 429,Home
https://annachi.fr/product/britannia-milk-bikis-biscuit-90g,429,HTTP Error 429,Home
https://annachi.fr/product/grb-dharwad-peda-fzn-340g?add-to-cart=77483,429,HTTP Error 429,Home
https://annachi.fr/product/humza-fzn-vegetable-spring-roll-20pcs-650g?add-to-cart=29106,429,HTTP Error 429,Home
https://annachi.fr/?add-to-cart=24974,429,HTTP Error 429,Home
https://annachi.fr/categorie-produit/snacks/namkeen?add-to-cart=286679,429,HTTP Error 429,Home
https://annachi.fr/categorie-produit/pickles-pastes-condiments?add-to-cart=289671,429,HTTP Error 429,Home
https://annachi.fr/wp-json/wp/v2/pages/253512,not connected,TimeoutError,Home
https://annachi.fr/wp-json/wp/v2/product_cat/1522,not connected,TimeoutError,Home
https://annachi.fr/categorie-produit/beauty-hygiene/skin-care?add-to-cart=262655,429,HTTP Error 429,Home
https://annachi.fr/?p=25551,429,HTTP Error 429,Home
https://annachi.fr/categorie-produit/pickles-pastes-condiments?add-to-cart=274559,429,HTTP Error 429,Home
https://annachi.fr/categorie-produit/home-kitchen/books,not connected,TimeoutError,Home
https://annachi.fr/categorie-produit/beverages/tea?add-to-cart=44845,429,HTTP Error 429,Home
https://annachi.fr/product/shan-mix-chana-masala-100g?add-to-cart=24820,429,HTTP Error 429,Home
