alt_text,title,source_type,url,file_extension,content_type,file_size,raw_size,resolution,width,height,format,color_mode,last_modified,download_time,status,image_number
morca pumps,morca pumps,img_tag,https://morcapumps.com/wp-content/uploads/2023/10/footer-logo-white.png,.png,image/png,4.92 KB,4.9150390625,350x100,350,100,PNG,P,"Tue, 13 Aug 2024 22:35:26 GMT",0.04s,success,1
None,slide image new,img_tag,https://morcapumps.com/wp-content/plugins/revslider/public/assets/assets/dummy.png,.png,image/png,0.07 KB,0.06640625,1x1,1,1,PNG,LA,"Wed, 04 Oct 2023 05:48:06 GMT",0.06s,success,2
Solar Water Pump,Solar Water Pump,img_tag,https://morcapumps.com/wp-content/uploads/2023/10/drip-irrigation.png,.png,image/png,1.19 KB,1.1943359375,80x80,80,80,PNG,P,"Tue, 13 Aug 2024 23:08:46 GMT",0.05s,success,3
None,None,img_tag,https://www.facebook.com/tr?id=1083119009736461&ev=PageView&noscript=1,Unknown,text/plain,0.00 KB,0.0,Unknown,0,0,Unknown,Unknown,Unknown,0.40s,success,4
None,None,img_tag,https://morcapumps.com/wp-content/uploads/2024/03/BDLC-cover-min.jpg,.jpg,image/jpeg,439.30 KB,439.296875,1920x790,1920,790,JPEG,RGB,"Mon, 18 Mar 2024 07:26:25 GMT",0.80s,success,5
Solar Water Pump,Solar Water Pump,img_tag,https://morcapumps.com/wp-content/uploads/2023/10/dual-pump.png,.png,image/png,1.57 KB,1.572265625,80x80,80,80,PNG,P,"Tue, 13 Aug 2024 23:08:39 GMT",0.43s,success,6
Solar Water Pump,Solar Water Pump,img_tag,https://morcapumps.com/wp-content/uploads/2024/01/agriculture-water-1-1.jpg,.jpg,image/jpeg,85.27 KB,85.2685546875,1000x750,1000,750,JPEG,RGB,"Thu, 16 May 2024 18:08:54 GMT",0.20s,success,7
Solar Water Pump,Solar Water Pump,img_tag,https://morcapumps.com/wp-content/uploads/2023/10/irrigation.png,.png,image/png,0.96 KB,0.962890625,80x80,80,80,PNG,P,"Tue, 13 Aug 2024 23:08:31 GMT",0.43s,success,8
Solar 5HP Water Pump,Solar 5HP Water Pump,img_tag,https://morcapumps.com/wp-content/uploads/2025/06/Solar-5HP-Water-Pump.webp,.webp,image/webp,85.66 KB,85.658203125,1500x900,1500,900,WEBP,RGB,"Tue, 17 Jun 2025 05:42:47 GMT",1.35s,success,9
None,None,img_tag,https://morcapumps.com/wp-content/uploads/2023/10/stand-alone-pumping.png,.png,image/png,1.21 KB,1.208984375,80x80,80,80,PNG,P,"Tue, 13 Aug 2024 23:08:34 GMT",0.04s,success,10
