Type,Attribute,Content
title,title,­­­­­Morca – Leading Solar Water Pump Providers in TamilNadu
meta,viewport,"width=device-width, initial-scale=1.0, viewport-fit=cover"
meta,description,Morca provides eco-friendly solar water pump solutions. We are the best solar pump manufacturers in Tamil Nadu. Click for solar pump pricing and details.
meta,robots,"follow, index, max-snippet:-1, max-video-preview:-1, max-image-preview:large"
meta,og:locale,en_US
meta,og:type,website
meta,og:title,­­­­­Morca – Leading Solar Water Pump Providers in TamilNadu
meta,og:description,Morca provides eco-friendly solar water pump solutions. We are the best solar pump manufacturers in Tamil Nadu. Click for solar pump pricing and details.
meta,og:url,https://morcapumps.com/
meta,og:site_name,Morca
meta,og:updated_time,2025-06-04T17:29:27+05:30
meta,article:published_time,2024-06-12T13:26:20+05:30
meta,article:modified_time,2025-06-04T17:29:27+05:30
meta,twitter:card,summary_large_image
meta,twitter:title,­­­­­Morca – Leading Solar Water Pump Providers in TamilNadu
meta,twitter:description,Morca provides eco-friendly solar water pump solutions. We are the best solar pump manufacturers in Tamil Nadu. Click for solar pump pricing and details.
meta,twitter:label1,Written by
meta,twitter:data1,Morca Pumps
meta,twitter:label2,Time to read
meta,twitter:data2,3 minutes
meta,generator,WordPress 6.8.1
meta,generator,Redux 4.5.7
meta,generator,Site Kit by Google 1.154.0
meta,generator,"Elementor 3.29.2; features: additional_custom_breakpoints, e_local_google_fonts; settings: css_print_method-internal, google_font-enabled, font_display-swap"
meta,generator,"Powered by Slider Revolution 6.6.16 - responsive, Mobile-Friendly Slider Plugin for WordPress with comfortable drag and drop interface."
meta,msapplication-TileImage,https://morcapumps.com/wp-content/uploads/2023/10/cropped-Marco-Fevi-270x270.png
schema,JSON-LD,"{""@context"": ""https://schema.org"", ""@graph"": [{""@type"": ""Organization"", ""@id"": ""https://morcapumps.com/#organization"", ""name"": ""Morca"", ""logo"": {""@type"": ""ImageObject"", ""@id"": ""https://morcapumps.com/#logo"", ""url"": ""https://morcapumps.com/wp-content/uploads/2023/10/cropped-Marco-Fvcon-500x300.png"", ""contentUrl"": ""https://morcapumps.com/wp-content/uploads/2023/10/cropped-Marco-Fvcon-500x300.png"", ""caption"": ""Morca"", ""inLanguage"": ""en-US""}}, {""@type"": ""WebSite"", ""@id"": ""https://morcapumps.com/#website"", ""url"": ""https://morcapumps.com"", ""name"": ""Morca"", ""publisher"": {""@id"": ""https://morcapumps.com/#organization""}, ""inLanguage"": ""en-US"", ""potentialAction"": {""@type"": ""SearchAction"", ""target"": ""https://morcapumps.com/?s={search_term_string}"", ""query-input"": ""required name=search_term_string""}}, {""@type"": ""ImageObject"", ""@id"": ""https://morcapumps.com/wp-content/uploads/2023/10/drip-irrigation.png"", ""url"": ""https://morcapumps.com/wp-content/uploads/2023/10/drip-irrigation.png"", ""width"": ""200"", ""height"": ""200"", ""inLanguage"": ""en-US""}, {""@type"": ""WebPage"", ""@id"": ""https://morcapumps.com/#webpage"", ""url"": ""https://morcapumps.com/"", ""name"": ""\u00ad\u00ad\u00ad\u00ad\u00adMorca \u2013 Leading Solar Water Pump Providers in TamilNadu"", ""datePublished"": ""2024-06-12T13:26:20+05:30"", ""dateModified"": ""2025-06-04T17:29:27+05:30"", ""about"": {""@id"": ""https://morcapumps.com/#organization""}, ""isPartOf"": {""@id"": ""https://morcapumps.com/#website""}, ""primaryImageOfPage"": {""@id"": ""https://morcapumps.com/wp-content/uploads/2023/10/drip-irrigation.png""}, ""inLanguage"": ""en-US""}, {""@type"": ""Person"", ""@id"": ""https://morcapumps.com/author/morca/"", ""name"": ""Morca Pumps"", ""url"": ""https://morcapumps.com/author/morca/"", ""image"": {""@type"": ""ImageObject"", ""@id"": ""https://morcapumps.com/wp-content/uploads/2025/05/345457941_548988304079192_5762304720266268863_n-96x96-1.jpg"", ""url"": ""https://morcapumps.com/wp-content/uploads/2025/05/345457941_548988304079192_5762304720266268863_n-96x96-1.jpg"", ""caption"": ""Morca Pumps"", ""inLanguage"": ""en-US""}, ""sameAs"": [""https://www.facebook.com/morca2022/""], ""worksFor"": {""@id"": ""https://morcapumps.com/#organization""}}, {""@type"": ""Article"", ""headline"": ""\u00ad\u00ad\u00ad\u00ad\u00adMorca \u2013 Leading Solar Water Pump Providers in TamilNadu"", ""keywords"": ""Solar Water Pump,solar pump,solar pump manufacturers"", ""datePublished"": ""2024-06-12T13:26:20+05:30"", ""dateModified"": ""2025-06-04T17:29:27+05:30"", ""author"": {""@id"": ""https://morcapumps.com/author/morca/"", ""name"": ""Morca Pumps""}, ""publisher"": {""@id"": ""https://morcapumps.com/#organization""}, ""description"": ""Morca provides eco-friendly solar water pump solutions. We are the best solar pump manufacturers in Tamil Nadu. Click for solar pump pricing and details."", ""name"": ""\u00ad\u00ad\u00ad\u00ad\u00adMorca \u2013 Leading Solar Water Pump Providers in TamilNadu"", ""@id"": ""https://morcapumps.com/#richSnippet"", ""isPartOf"": {""@id"": ""https://morcapumps.com/#webpage""}, ""image"": {""@id"": ""https://morcapumps.com/wp-content/uploads/2023/10/drip-irrigation.png""}, ""inLanguage"": ""en-US"", ""mainEntityOfPage"": {""@id"": ""https://morcapumps.com/#webpage""}}]}"
